佹得佹失 【拼音】guǐ  dé  guǐ  shī 【解释】佹：出于偶然的。指得失出于偶然。 【出处】《列子·力命》：“佹佹成者，俏成者也，初非成也。佹佹败者，俏败者也，初非败也。” 【示例】 
偭规越矩 【拼音】miǎn  guī  yuè  jǔ 【解释】偭：违背；越：逾越；规、矩：一定的标准、法则和习惯。违反正常的法则。 【出处】战国·楚·屈原《离骚》：“固时俗之工巧兮，偭规矩而改错。” 【示例】 
姱容修态 【拼音】kuā  róng  xiū  tài 【解释】姱：美好；修：长远；态：志向。美丽的容貌，长远的智慧。 【出处】战国·楚·宋玉《招魂》：“姱容修态，絙洞房些。” 【示例】昔埃及女王克里倭巴士拉生于汉地节元年，为前王多禄某女，～，冠绝古今。（严复、夏曾佑《国闻报馆附印说部起》） 
峣峣易缺 【拼音】yáo  yáo  yì  quē 【解释】峣峣：高直的样子；缺：损坏。比喻刚直不阿的人不容于世。 【出处】《后汉书·黄琼传》：“常闻语曰：‘峣峣者易缺，皦皦者易污。’” 【示例】 
弸中彪外 【拼音】péng  zhōng  biāo  wài 【解释】弸：充满；彪：文采。指人内有才德，则有文采，自然外露。赞美德才兼备的人。 【出处】汉·扬雄《法言·君子》：“或问：‘君子言则成文，动则成德，何以也？’曰：‘以其弸中而彪外也。’” 【示例】 
恇怯不前 【拼音】kuāng  qiè  bù  qián 【解释】恇怯：恐惧畏缩。恐惧畏缩，不敢向前。 【出处】《宋史·杨琼传》：“及闻清远之败，益恇怯不前。” 【示例】 
惙怛伤悴 【拼音】chuò  dá  shāng  cuì 【解释】惙怛：忧伤的样子；伤悴：悲愁。形容非常忧伤、悲愁。 【出处】《后汉书·梁鸿传》：“心惙怛兮伤悴，志菲菲兮升降。” 【示例】 
扞格不入 【拼音】hàn  gé  bù  rù 【解释】扞：绝；格：坚硬；扞格：相互抵触，格格不入。过于坚硬而难于深入。形容彼此意见完全不合。 【出处】《礼记·学记》：“发然后禁，则扞格而不胜。”郑玄注：“扞：坚不可入之貌。” 【示例】 
抃风舞润 【拼音】biàn  fēng  wǔ  rùn 【解释】抃：鼓掌；润：雨水。如燕在风中飞翔，象商羊在雨中起舞。原指同类的事物相互感应。后比喻意气相合。 【出处】《宋书·孔觊传》：“觊逊业之举，无闻于乡部；惰游之贬，有编于疲农。直山渊藏引，用不遐弃，故得抃风舞润，凭附弥年。” 【示例】 
掞藻飞声 【拼音】shǎn  zǎo  fēi  shēng 【解释】掞：发舒；藻：辞藻；飞：飞扬；声：声誉。指施展文才，声誉远扬。 【出处】唐·萧颖士《赠韦司业书》：“今朝野之际，文场至广，掞藻飞声，森然林植。” 【示例】 
摽梅之年 【拼音】biào  mén  zhī  nián 【解释】摽梅：梅子成熟后落下来。比喻女子已到了出嫁的年龄。 【出处】《诗经·召南·摽有梅》：“摽有梅，其实七兮。求我庶士，迨其吉兮。” 【示例】 
擿埴索涂 【拼音】zhì  zhí  suǒ  tú 【解释】擿埴：敲地；索：探求；涂：道路。指盲人用杖点地探求道路。比喻暗中摸索，事不易成。 【出处】汉·扬雄《法言·修身》：“擿埴索涂，冥行而已矣。” 【示例】近时杂志之作者亦伙矣，姱词以为美，嚣听而无所终，～，不获则反复其词而自惑。（孙中山《民报发刊词》） 
杅穿皮蠹 【拼音】yú  chuān  shuǐ  dù 【解释】杅：饮水器。比喻事先充分准备，谋定而后行动。 【出处】《公羊传·宣公十二年》：“古者杅不穿，皮不蠹，则不出于四方。” 【示例】 
楛耘伤岁 【拼音】kǔ  yún  shāng  suì 【解释】楛：粗恶；耘：除草；岁：年谷成熟。耕作不细致，会影响到一年的收成。 【出处】《荀子·天论》：“楛耕伤稼，耘耨失薉。”汉·韩婴《韩诗外传》卷二：“枯耕伤稼，枯耘伤岁。” 【示例】 
